Trading Name	Trading Code	RIC	Mkt Cap ($M)	Tot. Rev ($M)	P/E	Yield (%)	Sector	GTI Score
3Cnergy	502	CNER.SI	42.939	0.147			Real Estate	44
8Telecom	AZG	ETEL.SI	8.043	0.802			Technology Equipment	57
A-Smart	BQC	ASMA.SI	28.173	5.268			Industrial & Commercial Services	61
A-Sonic Aero	BTJ	ASON.SI	33.333	453.948	5.22	1.21	Transportation	57
ABR	533	ABRH.SI	93.463	80.865	15.25	4.3	Food & Beverages	56
Abterra	L5I	ABTR.SI	13.031	5.49			Energy - Fossil Fuels	-6
Abundance Intl	541	ABUN.SI	49.986	760.103	21.27		Industrial & Commercial Services	65
Accrelist Ltd	QZG	ACCR.SI	22.78	151.265			Technology Equipment	
Ace Achieve Info	A75	ACEA.SI	5.698	38.983			Technology Equipment	42
Acesian Partners	5FW	ACES.SI	9.471	10.082	11.88		Industrial & Commercial Services	68
Acma	AYV	ACMA.SI	1.78	66.043			Industrial Goods	67
Acromec	43F	ACRO.SI	12.194	23.516			Industrial & Commercial Services	61
Addvalue Tech	A31	AVAU.SI	26.986	3.608			Technology Equipment	56
Advanced	BLZ	ADVA.SI	9.628	41.315			Energy - Fossil Fuels	64
Advanced Systems	5TY	ADSA.SI	22.324	-6.653			Technology Equipment	68
Advancer Global	43Q	ADVN.SI	34.826	58.725	21.63	10	Industrial & Commercial Services	80
Adventus	5EF	ADVE.SI	15.605	0			Industrial Goods	58
Aedge Group	XVG	AEDE.SI	24.38			4.35	Industrial & Commercial Services	
AEI	AWG	AEIC.SI	105.395	13.79	10.11		Mineral Resources	39
AEM	AWX	AEM.SI	1305.288	437.511	16.39	1.58	Technology Equipment	89
AF Global	L38	AFGL.SI	109.786	4.558			Cyclical Consumer Services	66
AGV	1A4	AGVG.SI	8.982				Mineral Resources	55
AIMS APAC Reit	O5RU	AIMA.SI	1039.929	130.147	9.66	5.66	Real Estate	86.3
AIMS Property	BVP	APW.AX	55.754	14.036	4.36	1.62	Real Estate	
Alita Resources	40F	ALIT.SI	117.01	73.498			Mineral Resources	48
Alliance HC	MIJ	ALLA.SI	36.173	46.416	23.64	1.32	Healthcare Services	51
Allied Tech	A13	ALLT.SI	19.19	118.901			Industrial Goods	71
AlphaDX	VVL	ALPH.SI	76.014	4.393	0.22		Software & IT Services	
Alset	40V	ALSE.SI	197.716				Real Estate	75
Amara	A34	AMRA.SI	213.466	65.009			Cyclical Consumer Services	71
Amcorp Global	S9B	AMCO.SI	41.559	20.17			Real Estate	83
AMOS Group	49B	AMOS.SI	33.035	108.52			Industrial Goods	
Amplefield Ltd	AOF	AMPL.SI	27.919	2.265	75.61		Real Estate	77
AMTD IB OV	HKB							
AnAn Intl	Y35	ANAN.SI	114.296	1946.011	54.13		Energy - Fossil Fuels	32
Anchun Intl	BTX	ANIH.SI	11.615	16.973			Industrial Goods	50
AnnAik	A52	AAIK.SI	22.567	57.565	13.84	1.32	Mineral Resources	53
Annica	5AL	ANHL.SI	16.675	9.195			Energy - Fossil Fuels	51
Aoxin Q & M	1D4	AOXI.SI	89.67	35.254			Healthcare Services	78
AP Oil	5AU	AOIL.SI	27.477	56.767	10.92	2.99	Chemicals	68
AP Strategic	5RA	ASIC.SI	35.651	1.198			Cyclical Consumer Services	53
APAC Realty	CLN	APAC.SI	294.814	576.02	11.46	6.33	Real Estate	56
ARA HTrust USD	XZL	ARAU.SI	277.998	91.663			Real Estate	66.2
ARA LOGOS Log Tr	K2LU	ARAL.SI	1292.44	126.199	6.06	5.23	Real Estate	81.6
Arion Ent	YYB	ARIO.SI	6.538	0.857			Cyclical Consumer Services	
Ascendas Reit	A17U	AEMN.SI	12920.568	1114.249	23.54	4.27	Real Estate	94.4
Ascendas-iTrust	CY6U	AINT.SI	1614.418	188.054	12.35	6.2	Real Estate	84.4
Ascott Trust	HMN	ASCO.SI	3338.49	346.423		3.43	Real Estate	
Asia Enterprises	A55	AEHL.SI	55.391	32.413	34.69	3.09	Mineral Resources	65
Asia Vets	5RE	ASIV.SI	8.915	3.962		3.28	Healthcare Services	59
AsiaMedic	505	ASIM.SI	20.155	18.328			Healthcare Services	67
Asian Healthcare	1J3	ASAI.SI	90.19	23.595	20.5	3.45	Healthcare Services	80
Asian Micro	585	AMHL.SI	12.466	3.832			Utilities	52
Asian Pay Tv Tr	S7OU	ASIA.SI	242.052	300.468	11.25	7.46	Cyclical Consumer Services	53.3
AsiaPhos	5WV	ASIP.SI	15.473	0.954			Mineral Resources	64
Asiatic	5CR	ATIC.SI	12.452				Industrial Goods	61
Asiatravel.com	5AM	ATVE.SI	12.468	27.51			Software & IT Services	34
ASL Marine	A04	ASLM.SI	39.888	192.96			Industrial Goods	86
Aspen	1F3	ASPE.SI	150.581	96.536	6.07	2.46	Real Estate	64
Aspial	A30	ASPA.SI	254.075	496.749	19.6	6.41	Real Estate	66
Astaka	42S	ASTA.SI	164.34	14.149			Real Estate	80
ASTI	575	ATIH.SI	21.141	55.604	10.95		Technology Equipment	74
Atlantic Nav	5UL	ATLA.SI	34.028	64.282			Energy - Fossil Fuels	46
Audience	1AZ	AUDI.SI	37.845				Cyclical Consumer Services	
AusGroup	5GJ	AUSG.SI	79.644	197.603	65.81		Energy - Fossil Fuels	56
Avarga	U09	AVAR.SI	270.791	2416.076	2.38	6.95	Cyclical Consumer Products	78
Avi-Tech	BKY	AVTH.SI	69.204	29.339	19.41	3.8	Technology Equipment	92
AVJennings A$	A05	AVJ.AX	249.832	311.09	13.34	4.07	Real Estate	
Axington	42U							84
Axington R	IXOR							
Axington R1	QPQR	AXIN.SI	36.189	0		9.82	Industrial & Commercial Services	
Ayondo	1I5	AYON.SI	23.7	0			Banking & Investment Services	
Azeus	BBW	AZEU.SI	241.2	30.866	58.81	0.84	Software & IT Services	61
Aztech Gbl	8AZ	AZTE.SI	804.779	604.88	12.45	1.92	Industrial Goods	
B&M Hldg	CJN	BMHL.SI	25.924	1.559		0.51	Banking & Investment Services	59
Baker Technology	BTP	BATE.SI	89.266	61.853			Energy - Fossil Fuels	82
Ban Leong	B26	BANL.SI	43.105	182.682	6	6.76	Technology Equipment	70
Banyan Tree	B58	BANY.SI	287.316	138.935			Cyclical Consumer Services	92
BBR	KJ5	BBRS.SI	42.212	157.281			Industrial & Commercial Services	78
Beng Kuang	BEZ	BENK.SI	15.391	49.072			Industrial & Commercial Services	75
Best World	CGN	BEST.SI	743.363	602.544			Personal & Household Products & Services	64
Beverly JCG	VFP	BEVE.SI	17.928	7.099			Healthcare Services	
BH Global	BQN	BHGC.SI	102	44.532	84.37	1.47	Industrial Goods	69
BHG Retail Reit	BMGU	BHGR.SI	292.097	67.093	137.35	3.82	Real Estate	81.4
Biolidics	8YY	BIOL.SI	51.763	2.446			Healthcare Services	
BlackGoldNatural	41H	BLAC.SI	18.89	13.59			Energy - Fossil Fuels	66
Blumont	A33	BLUM.SI	110.283	3.167			Industrial & Commercial Services	59
Boldtek	5VI	BOLD.SI	33.561	59.731	29.58		Real Estate	77
Bonvests	B28	BVHS.SI	385.456	110.434		0.31	Cyclical Consumer Services	63
Boustead	F9D	BTSS.SI	515.069	685.71	4.42	3.88	Industrial & Commercial Services	77
Boustead Proj	AVM	BOUS.SI	323.2	301.405	2.39	0.89	Industrial & Commercial Services	85
BRC Asia	BEC	BRCA.SI	389.127	646.541	19.87	3.55	Cyclical Consumer Products	54
Broadway Ind	B69	BRWY.SI	94.383	420.902	6.17	2.5	Industrial Goods	53
Brook Crompton	AWC	BROO.SI	22.162	46.022	9.92	3.2	Industrial Goods	72
Bukit Sembawang	B61	BSES.SI	1348.928	580.961	7.12	0.77	Real Estate	77
Bumitama Agri	P8Z	BUMI.SI	966.643	1002.583	8.64	4.45	Food & Beverages	77
Bund Center	BTE	BCIL.SI	395.455	80.152	28.45	4.33	Real Estate	68
Camsing Hc	BAC	CAMS.SI	30.752	12.958			Retailers	44
CapAllianz	594	CAPL.SI	22.704	2.582			Energy - Fossil Fuels	80
Capital World	1D5	CAPI.SI	9.202	0.27			Real Estate	53
CapitaLandInvest	9CI	CAPN.SI	18159.152	1921			Banking & Investment Services	
CapLand China T	AU8U	CAPA.SI	2041.219	285.9		6.55	Real Estate	98.2
CapLand IntCom T	C38U	CMLT.SI	13928.83	1072.479	14.5	4.22	Real Estate	110.5
Captii	AWV	CAPT.SI	13.422	16.143	7.36	5.95	Telecommunications Services	58
Casa	C04	CASA.SI	12.59	16.112	7.78	8.33	Cyclical Consumer Products	43
CDL HTrust	J85	CDLT.SI	1474.45	131.724		4.47	Real Estate	85.9
CDW	BXE	CDWH.SI	60.523	169.67	57.42	6.65	Technology Equipment	85
Centurion	OU8	CNCL.SI	273.253	126.492	55.75		Real Estate	89
CFM	5EB	CFMH.SI	37.687	20.694	90.34		Industrial Goods	71
CH Offshore	C13	CHOF.SI	29.614	18.829			Energy - Fossil Fuels	62
Challenger	573	CHAL.SI	191.59	288.118	8.36	4.86	Retailers	73
Charisma Energy	5QT	CHAR.SI	26.454	20.348			Utilities	52
Chasen	5NV	CHHL.SI	29.165	130.723	16.7		Transportation	87
ChasWood Res	5TW	CHAS.SI	2.24	0.567			Cyclical Consumer Services	41
Chemical Ind	C05	CHEM.SI	56.959	63.002	10.23	2	Chemicals	46
China Aviation	G92	CNAO.SI	874.846	18641.299	11.33	2.55	Energy - Fossil Fuels	84
China Env	5OU	CHEN.SI	30.817	1.234			Industrial & Commercial Services	59
China Env Res	RS1	1130.HK	142.558	77.878			Industrial & Commercial Services	
China Everbright	U9E	CEWL.SI	1783.884	1153.772	4.45	6.51	Utilities	83
China Fishery	B0Z	CNFG.SI	268.758	657.423			Food & Beverages	45
China Haida	C92	CHHA.SI	1.014	1.826			Mineral Resources	68
China Intl	BEH	CHNA.SI	18.935	32.489	1.41	12	Industrial & Commercial Services	59
China Mining	BHD	CMIL.SI	10.56	0.383			Real Estate	57
China Star Food	42W	CHIA.SI	23.863	60.217			Food & Beverages	48
China Yuanbang	BCD	CYBP.SI	18.044	105.53	3.56		Real Estate	64
ChinaKangdaFood	P74	0834.HK	155.861	1875.978			Food & Beverages	56
ChinaKundaTech	GU5	CKUN.SI	11.065	7.786			Automobiles & Auto Parts	70
ChinaSunsine	QES	CHSN.SI	501.528	643.053	5.85	1.96	Chemicals	
Chip Eng Seng	C29	CESE.SI	354.328	1007.083		4.65	Real Estate	85
Choo Chiang	42E	CHOO.SI	58.24	70.703	8.99	5	Industrial Goods	46
Chuan Hup	C33	CHHS.SI	236.71	26.4	13.16	3.92	Real Estate	63
CityDev	C09	CTDM.SI	6674.272	2227.711		0.95	Real Estate	125
Civmec	P9D	CIVM.SI	349.203	682.975	9.89	2.85	Industrial & Commercial Services	83
Clearbridge	1H3	CLEA.SI	72.831	31.015			Healthcare Services	70
CNMC Goldmine	5TP	CNMC.SI	87.654	35.423			Mineral Resources	79
Colex	567	COLX.SI	29.155	41.931	33.18	2.05	Industrial & Commercial Services	60
Combine Will	N0Z	CWIHx.SI	28.933	184.619	4.1	5.59	Cyclical Consumer Products	64
ComfortDelGro	C52	CMDG.SI	3402.893	3444.4	21.52	2.25	Transportation	110
Cordlife	P8A	CORD.SI	108.348	47.545	16.25	2.22	Healthcare Services	59
Cortina	C41	CORT.SI	556.343	436.715	14.07	0.6	Retailers	75
COSCO SHP SG	F83	COSC.SI	604.596	194.446	43.97		Transportation	55
CosmoSteel	B9S	COSM.SI	28.169	65.768	13.4	5.15	Mineral Resources	85
Courage Inv	CIN	1145.HK	230.518	59.726			Transportation	
Creative	C76	CREA.SI	159	113.878			Technology Equipment	58
CreditBureauAsia	TCU	CRED.SI	285.684	45.114	38.52	1.37	Industrial & Commercial Services	
Cromwell Reit EUR	CWBU							
Cromwell Reit SGD	CWCU	CROM.SI	1464.326	192.331	11.3	6.6	Real Estate	
CSC	C06	CSCH.SI	46.649	178.333			Industrial & Commercial Services	56
CSE Global	544	CSES.SI	263.195	481.669	11.45	5.39	Software & IT Services	78
DairyFarm USD	D01	DAIR.SI	4775.744	9565.4	27.71	4.11	Food & Drug Retailing	
Darco Water Tech	BLR	DRWT.SI	15.951	67.655	15.89		Utilities	67
Dasin Retail Tr	CEDU	DASI.SI	357.036	101.735	34.5	6.55	Real Estate	85.9
Datapulse Tech	BKW	DATA.SI	31.886	1.04			Real Estate	63
DBS	D05	DBSM.SI	81820.469	10393	13.65	2.75	Banking & Investment Services	123
Debao Property	BTF	DPDL.SI	9.6	65.381			Real Estate	40
Del Monte Pac	D03	DMPL.SI	1250.348	2981.928	6.63	4.16	Food & Beverages	109
Delfi	P34	DELF.SI	470.591	518.008	18.42	4.08	Food & Beverages	85
Design Studio	D11	DESS.SI	21.868	6.42			Retailers	54
Digilife Tech	BAI	DIGI.SI	20.127	246.123			Telecommunications Services	65
DISA	532	DISA.SI	10.107	19.401			Consumer Goods Conglomerates	61
Don Agro	GRQ	DONA.SI	56.352	33.507	6.22	2.27	Food & Beverages	
Dragon	MT1	DRGN.SI	1.363	3.048			Industrial Goods	64
Duty Free Intl	5SO	DUTY.SI	153.65	53.556			Transportation	63
Dyna-Mac	NO4	DMHL.SI	103.682	139.046			Industrial Goods	79
Eagle HTrust USD	LIW	EAGL.SI	119.567	69.414		25.39	Real Estate	
EC World Reit	BWCU	ECWO.SI	654.927	119.976	20.83	7.26	Real Estate	80.3
Econ Healthcare	EHG	ECOE.SI	77.1	20.378	10.9	2.6	Healthcare Services	
EcoWise	5CT	ECOW.SI	75.149	51.413	33.33		Industrial & Commercial Services	78
Edition	5HG	EDIT.SI	17.663	0.232			Food & Beverages	64
Eindec	42Z	EIND.SI	7.324	24.976	15.63		Industrial Goods	58
EliteComREIT GBP	MXNU	ELIE.SI	317.801	27.543	14.79	7.64	Real Estate	
Ellipsiz	BIX	ELPZ.SI	62.008	54.511	20.22	6.76	Technology Equipment	54
Eneco Energy	R14	ENEC.SI	16.823	36.841			Energy - Fossil Fuels	38
EnGro	S44	ENGR.SI	151.939	114.038	3.59	1.95	Mineral Resources	88
Envictus	BQD	ETIK.SI	31.414	118.773			Cyclical Consumer Services	52
Enviro-Hub	L23	EHHL.SI	114.975	33.71	75.76		Industrial & Commercial Services	56
Epicentre	5MQ	EPHL.SI	2.851	-3.175			Retailers	54
ES	5RC	ESGL.SI	8.472	17.069		4.17	Industrial Goods	72
ESR-REIT	J91U	ESRR.SI	1920.628	236.01	19.02		Real Estate	86.1
ETC Singapore	1C0	EMER.SI	33.39	15.005			Real Estate	82
EuroSports Gbl	5G1	EURO.SI	50.085	49.123			Retailers	71
Excelpoint	BDF	EXCE.SI	135.491	1805.983	4.96	2.65	Technology Equipment	72
Ezion	5ME	EZHL.SI	156.139	16.933			Energy - Fossil Fuels	82
Ezra	5DN	EZRA.SI	32.053	707.951			Energy - Fossil Fuels	30
F & N	F99	FRNM.SI	2076.125	1845.375	13	3.5	Food & Beverages	79
Fabchem China	BFT	FBCH.SI	18.018				Chemicals	68
Falcon Energy	5FL	FEGL.SI	23.11	40.137			Energy - Fossil Fuels	50
Far East	5TJ	FAEA.SI	14.044	70.084		1.43	Industrial Goods	68
Far East HTrust	Q5T	FAEH.SI	1254.018	80.553		3.24	Real Estate	99.2
Far East Orchard	O10	FARE.SI	510.988	102.223	814.81	2.73	Cyclical Consumer Services	92
Federal Int	BDU	FEDL.SI	15.484	66.877			Energy - Fossil Fuels	83
Figtree	5F4	FIGT.SI	23.36	11.573		3.08	Real Estate	70
First Reit	AW9U	FRET.SI	418.866	79.954		10.29	Real Estate	74.9
First Resources	EB5	FRLD.SI	2819.65	1071.981	23.43	1.83	Food & Beverages	94
First Sponsor	ADN	FSCA.SI	1243.146	256.546	15.2	2.3	Real Estate	86
FJ Benjamin	F10	FJBN.SI	27.75	66.839			Retailers	53
Food Empire	F03	FEMP.SI	438.302	390.493	13.12	2.7	Food & Beverages	42
Forise Int	8A1	FOIL.SI	4.899	2.149			Industrial & Commercial Services	
FortressMinerals	OAJ	FORR.SI	185	74.03	6.57	2.7	Mineral Resources	65
Frasers Cpt Tr	J69U	FCRT.SI	4061.25	341.15	23.67		Real Estate	76.2
Frasers HTrust	ACV	FRHO.SI	943.776	65.893		2.46	Real Estate	86.3
Frasers L&C Tr	BUOU	FRAE.SI	5514.63	444.985	7.99	4.78	Real Estate	92.5
Frasers Property	TQ5	FRPL.SI	4581.82	3029.705	20.02	1.28	Real Estate	87
Frencken	E28	FREN.SI	973.618	703.406	17.65	1.32	Industrial Goods	57
FSL Trust	D8DU	FSLT.SI	148.517	38.039		55.3	Transportation	81.4
Fu Yu	F13	FUYU.SI	214.604	152.248	11.66	5.79	Industrial Goods	84
Fuji Offset	508	FOPS.SI	17.969	4.117	16.33	0.83	Industrial Goods	79
Full Apex	BTY	FULL.SI	17.59	209.394			Applied Resources	7
Fuxing China	AWK	FXCG.SI	13.811	148.058			Cyclical Consumer Products	54
G Invacom	QS9	GLOB.SI	27.393	122.314	17.9		Technology Equipment	68
G K Goh	G41	GKHS.SI	364.102	149.311	33.23	1.77	Banking & Investment Services	61
Gallant Venture	5IG	GLVT.SI	704.805	139.23			Automobiles & Auto Parts	75
GCCP	41T	GCCP.SI	29	1.532			Mineral Resources	49
GDS Global	5VP	GDSG.SI	5.824	10.395			Cyclical Consumer Products	63
Genting Sing	G13	GENS.SI	9433.341	1170.29	34.51	1.28	Cyclical Consumer Services	83
Geo Energy Res	RE4	GEOE.SI	508.919	494.059	4.88	3.89	Energy - Fossil Fuels	93
GHY Culture	XJB	GHYC.SI	628.168	133.728	16.17	1.83	Cyclical Consumer Services	
GKE	595	GKEC.SI	114.437	118.986	9.7	2.78	Transportation	67
Global Dragon	586	GLOL.SI	80.473	35.641	29.5		Real Estate	73
Global Inv	B73	GLNV.SI	272.367	46.43	6.5	5.06	Collective Investments	105
Global Palm Res	BLW	GPRL.SI	49.973	37.068	13.04	5.24	Food & Beverages	55
Global Testing	AYN	GTCL.SI	21.474	36.842	7.18		Technology Equipment	52
Golden Agri-Res	E5H	GAGR.SI	3337.763	10976.57	7.16	2.95	Food & Beverages	81
Golden Energy	AUE	GOLD.SI	870.647	1854.938	31.22		Energy - Fossil Fuels	70
Goodland	5PC	GLGP.SI	54.775	14.654		1.62	Real Estate	54
GP Industries	G20	GPEI.SI	297.174	1182.101	8.7	2.19	Industrial Goods	61
Grand Banks	G50	GBYL.SI	58.16	96.061	13.77	1.59	Cyclical Consumer Products	94
Grand Venture	JLB	GRAN.SI	426.706	88.028	29.66		Industrial Goods	64
Great Eastern	G07	GELA.SI	10261.558	23690.801	7.88	2.77	Insurance	95
Green Build	Y06	GREE.SI	8.387	1.923			Industrial & Commercial Services	57
GRP	BLU	GRPS.SI	33.51	14.361			Automobiles & Auto Parts	84
GS Hldg	43A	GSHO.SI	77.487	13.639		2.44	Cyclical Consumer Services	37
GSH	BDX	GSHC.SI	345.981	94.175		1.43	Cyclical Consumer Services	70
GSS Energy	41F	GSSE.SI	46.996	121.966	7		Industrial Goods	60
Guoan Intl	G11	0143.HK	387.448	168.839			Technology Equipment	
GuocoLand	F17	GUOC.SI	2011.735	853.734	12.36	3.53	Real Estate	104
GYP Properties	AWS	GYPP.SI	39.444	46.927	20.06		Real Estate	60
Hafary	5VS	HFRY.SI	68.888	114.592	5.7	9.38	Cyclical Consumer Products	70
Hai Leck	BLH	HLHL.SI	130.291	88.506	10.79	3.48	Energy - Fossil Fuels	65
Halcyon Agri	5VJ	HALC.SI	422.678	2818.674			Automobiles & Auto Parts	88
Hanwell	DM0	HANW.SI	234.109	513.402	10.68	1.22	Applied Resources	73
Hatten Land	PH0	HATT.SI	98.835	-1.497		0.06	Real Estate	58
Haw Par	H02	HPAR.SI	2793.174	95.99	34.13	2.38	Pharmaceuticals & Medical Research	89
HC Surgical	1B1	HCSU.SI	83.268	23.358	10.32	7.27	Healthcare Services	64
HealthBank	40B	HEAL.SI	7.02	-0.02	1.83		Cyclical Consumer Services	46
Healthway Med	5NG	HEMC.SI	158.508	118.133	17.16		Healthcare Services	67
Heatec Jietong	5OR	HTJT.SI	3.689	26.147			Cyclical Consumer Products	83
Heeton	5DP	HEET.SI	151.198	31.032	45.59	0.97	Real Estate	53
Hengyang Petro	5PD	HNYG.SI	44.762	48.042	8.28		Energy - Fossil Fuels	59
HG Metal	BTG	HGMM.SI	41.796	116.012	5.37	1.56	Mineral Resources	68
HGH	5GZ	HGHH.SI	19.589	12.549			Technology Equipment	54
Hiap Hoe	5JK	HIAP.SI	313.208	81.972		0.76	Real Estate	74
Hiap Seng	510	HSEN.SI	6.11	118.445			Industrial & Commercial Services	62
Hiap Tong	5PO	HTCL.SI	23.413	54.326			Banking & Investment Services	59
HL Global Ent	AVX	HLGE.SI	29.114	3.905			Cyclical Consumer Services	79
Ho Bee Land	H13	HBEE.SI	1983.413	265.626	12.73	2.84	Real Estate	76
Hock Lian Seng	J2T	HLSG.SI	117.784	102.436	10.98	1.09	Industrial & Commercial Services	68
Hoe Leong	H20	HLEC.SI	18.815	43.683	8.33		Industrial Goods	64
Hong Fok	H30	HONG.SI	679.077	79.599		1.28	Real Estate	102
Hong Lai Huat	CTO	HONL.SI	49.713	14.542			Real Estate	66
Hong Leong Asia	H22	HLAA.SI	628.241	5193.433	9.48	1.19	Automobiles & Auto Parts	98
Hong Leong Fin	S41	HLSF.SI	1083.527	255.718	15.03	3.82	Banking & Investment Services	99
HongkongLand USD	H78	HKLD.SI	12721.652	2159.8		4.04	Real Estate	
Hor Kew	BBP	HKEW.SI	13.017	62.785	2.28		Industrial & Commercial Services	42
Hosen	5EV	HSNG.SI	26.431	67.352	8.67	2.7	Food & Drug Retailing	59
Hotel Grand	H18	HGCS.SI	783.792	111.697	18.36	1.89	Cyclical Consumer Services	56
Hotel Royal	H12	HTRS.SI	310.464	24.598		0.81	Cyclical Consumer Services	92
Hotung Inv	BLS	HOTU.SI	198.855	67.03	4.96	10.09	Banking & Investment Services	39
HPH Trust SGD	P7VU							
HPH Trust USD	NS8U	HPHT.SI	1916.442	1532.739	10.74	8.25	Transportation	73.9
HPL	H15	HPPS.SI	1720.918	283.632		1.21	Cyclical Consumer Services	47
HRnetGroup	CHZ	HRNE.SI	829.354	497.799	13.31	3.05	Industrial & Commercial Services	80
HS Optimus	504	HSOP.SI	21.522	18.301	10		Cyclical Consumer Products	66
Hu An Cable	KI3	HACH.SI	8.618	32.743			Industrial Goods	53
Huationg Global	41B	HUAT.SI	16.047	185.109	1.39		Industrial & Commercial Services	76
Hwa Hong	H19	HWHS.SI	218.924	10.525	32.94	2.99	Real Estate	74
Hyflux	600	HYFL.SI	177.137	150.18			Utilities	38
Hyphens Pharma	1J5	HYPH.SI	88.627	123.698	14.38	2.1	Pharmaceuticals & Medical Research	56
ICP Ltd	5I4	ICPL.SI	24.894	4.37			Real Estate	44
IFAST	AIY	IFAS.SI	2477.377	209.551	84.85	0.49	Financial Technology (Fintech) & Infrastructure	80
IFS Capital	I49	IFAC.SI	68.426	39.407	551.52	1.1	Banking & Investment Services	73
IHH	Q0F	IHHH.KL	57290.59	15500.369	38.14	0.61	Healthcare Services	
Imperium Crown	5HT	IMPE.SI	11.85	2.429			Real Estate	75
Inch Kenneth	I4R	IKEN.KL	195.649	17.938			Cyclical Consumer Services	
Incredible	RDR	INCR.SI	14.968	18.248			Technology Equipment	76
Indofood Agri	5JS	IFAR.SI	477.768	1575.567	8.06		Food & Beverages	74
Informatics	BOU	INFO.SI	3.901	7.225			Personal & Household Products & Services	56
InnoTek	M14	INTK.SI	189.925	187.788	10.19	2.6	Technology Equipment	75
Interra Resource	5GI	INTR.SI	30.808	11.437			Energy - Fossil Fuels	65
Intl Cement	KUO	INTN.SI	189.246	163.476	11.96		Mineral Resources	
Intraco	I06	ITRS.SI	28.006	187.413			Industrial & Commercial Services	86
IPC Corp	AZA	IPCC.SI	13.22	6.211			Cyclical Consumer Services	61
IPS Securex	42N	IPSS.SI	29.16	8.692	300		Technology Equipment	76
IREIT Global EUR	8U7U							
IREIT Global SGD	UD1U	IREI.SI	749.736	68.057	7.78	6.82	Real Estate	76
ISDN	I07	ISDN.SI	271.956	411.837	15.2	1.29	Industrial Goods	91
ISEC	40T	ISEC.SI	162.467	37.354	27.67	3.9	Healthcare Services	79
Isetan	I15	ISET.SI	170.363	81.525		1.21	Retailers	73
ISOTeam	5WF	ISOT.SI	50.513	98.987			Industrial & Commercial Services	76
IX Biopharma	42C	IXBI.SI	182.811	1.745			Pharmaceuticals & Medical Research	61
Jackspeed	J17	JACK.SI	39.935	0			Automobiles & Auto Parts	67
Jadason	J03	JADA.SI	20.949	38.201			Technology Equipment	56
Japan Foods	5OI	JPFD.SI	70.647	51.002	19.43	6.17	Cyclical Consumer Services	82
Japfa	UD2	JAPF.SI	1436.859	5793.58	2.9	1.44	Food & Beverages	82
Jardine C&C	C07	JCYC.SI	8884.912	20124.043	14.15	3.11	Automobiles & Auto Parts	91
Jason Marine	5PF	JMGL.SI	13.886			5.73	Technology Equipment	70
Jasper Inv	FQ7	JASP.SI	14.205	0			Energy - Fossil Fuels	41
Jawala	1J7	JAWA.SI	14.335				Applied Resources	59
JB Foods	BEW	JBFO.SI	163.728	565.02	9.21	3.15	Food & Beverages	75
JEP	1J4	JEPH.SI	99.347	60.388			Industrial Goods	46
JES Intl	EG0	JSIH.SI	31.346	0			Industrial Goods	12
Jiutian Chemical	C8R	JUTN.SI	174.983	292.383	4.59	3.98	Chemicals	54
JMH USD	J36	JARD.SI	41150.363	34233	82.51	3.02	Consumer Goods Conglomerates	
Joyas Intl	E9L	JIHL.SI	6.641	0.436			Cyclical Consumer Products	47
Jubilee	NHD	JLJH.SI	17.794	144.996			Industrial Goods	59
Jumbo	42R	JUMB.SI	205.971	97.573			Cyclical Consumer Services	74
Karin Tech	K29	KARI.SI	68.723	325.111	12.22	7.4	Technology Equipment	80
Katrina	1A0	KATR.SI	18.753	58.393			Cyclical Consumer Services	51
Kencana Agri	BNE	KCAL.SI	53.097	143.496	2.89		Food & Beverages	67
Keong Hong	5TT	KEHO.SI	84.898	49.438			Industrial & Commercial Services	57
Kep Infra Tr	A7RU	KEPL.SI	2645.37	1544.081		7.02	Chemicals	79.5
KepPacOakReitUSD	CMOU	KPEL.SI	825.2	137.473	10.24	7.84	Real Estate	91.5
Keppel Corp	BN4	KPLM.SI	9776.396	7069.044	29.68	3.54	Consumer Goods Conglomerates	122
Keppel DC Reit	AJBU	KEPE.SI	4081.067	276.768	22.45	3.63	Real Estate	88.3
Keppel Reit	K71U	KASA.SI	4053.785	200.55	189.33	4.84	Real Estate	81.9
Khong Guan	K03	KHON.SI	40.009	63.861	33.86	1.29	Food & Beverages	55
Kim Heng	5G2	KIMH.SI	71.71	48.895			Energy - Fossil Fuels	65
Kimly	1D0	KIML.SI	475.001	226.037	12.31	3.68	Cyclical Consumer Services	67
King Wan	554							71
KingsmenCreative	5MZ	KMEN.SI	56.546	281.055			Industrial & Commercial Services	54
Kitchen Culture	5TI	KCHL.SI	33.973	12.743			Retailers	71
Koda	BJZ	KODA.SI	65.545	111.419	5.33	1.27	Cyclical Consumer Products	92
Koh Bros	K75	KBRO.SI	74.898	279.899	14.29		Industrial & Commercial Services	60
Koh Eco	5HV	KBEE.SI	174.692	213.019	41.33		Industrial & Commercial Services	55
KOP	5I1	KOPL.SI	70.91	8.315			Cyclical Consumer Services	86
Kori	5VC	KORI.SI	14.186	15.995	11.33		Industrial & Commercial Services	74
Koufu	VL6	KOUF.SI	363.632	209.089	21.03	2.6	Cyclical Consumer Services	74
Koyo Intl	5OC	KOYO.SI	14.513	25.192	19.37	0.68	Industrial & Commercial Services	55
KrisEnergy	SK3	KRIS.SI	45.699	61.194			Energy - Fossil Fuels	78
